TSNE-1,TSNE-2,Target
25.808195,9.314215,Graduate
16.72744,-48.85514,Graduate
18.777382,-64.11887,Graduate
32.589073,78.97366,Graduate
12.450177,-39.705048,Graduate
10.092939,27.765718,Graduate
5.26347,-32.462048,Graduate
26.89116,-58.250427,Graduate
22.98065,5.213998,Graduate
-50.72882,-0.12700543,Dropout
13.663995,-10.169955,Graduate
-11.877234,-26.434698,Graduate
16.40105,14.256418,Graduate
-29.263144,31.43152,Dropout
0.12796187,8.417708,Graduate
18.458849,41.99085,Enrolled
-30.762352,-26.40297,Graduate
-25.614853,27.839249,Dropout
-20.415754,35.92193,Dropout
23.627886,8.840539,Dropout
-20.309826,-22.29739,Graduate
-49.60328,-46.03515,Graduate
31.958735,-13.415443,Dropout
2.3940587,-20.300613,Graduate
6.0886507,-23.027992,Graduate
8.7732,42.157146,Graduate
-17.891638,55.52388,Graduate
18.295921,-32.44211,Graduate
5.383898,26.92888,Dropout
2.829563,-12.722437,Graduate
14.017773,-25.830578,Graduate
-21.88007,54.902588,Dropout
18.602356,-20.169943,Graduate
-7.0027323,-22.17658,Graduate
-27.236494,-15.452791,Dropout
19.346996,-35.25058,Graduate
-0.73992926,-20.714718,Graduate
-49.01953,-46.327515,Graduate
-20.73665,-12.795176,Dropout
-61.141407,1.9424856,Dropout
43.211243,-11.27342,Enrolled
37.27602,31.762703,Enrolled
-31.438555,-29.477085,Graduate
-34.725925,4.6405444,Dropout
-18.315945,-23.039238,Graduate
-19.48913,59.661682,Graduate
44.29994,-17.57312,Graduate
19.901134,71.647385,Dropout
41.021683,-19.649593,Graduate
5.261464,-17.037214,Graduate
40.182545,-21.396347,Enrolled
38.96105,-28.350851,Dropout
22.079226,13.454205,Graduate
-9.645803,-40.320446,Enrolled
9.538834,4.133174,Graduate
-63.128906,6.9471188,Dropout
10.642714,43.79343,Graduate
-5.808298,-31.965199,Enrolled
18.904482,-32.628723,Graduate
-9.160336,4.604233,Dropout
-7.643477,-20.367887,Graduate
-30.172731,29.088936,Dropout
-3.418888,44.37795,Dropout
15.283004,-3.3137271,Graduate
20.97966,-30.791327,Graduate
22.718105,-21.528429,Graduate
48.322685,17.419958,Graduate
-4.5364175,-49.32755,Graduate
-12.590009,-20.78191,Graduate
55.004787,-51.31085,Graduate
25.071306,75.20429,Graduate
-27.31512,-28.285692,Dropout
-24.903845,-17.074675,Graduate
26.01502,23.83985,Graduate
18.297482,-26.8686,Graduate
40.98544,-13.38229,Graduate
25.676266,-12.973608,Dropout
-14.620035,54.091675,Dropout
1.3988843,-20.45952,Enrolled
1.3187674,-17.554922,Graduate
-23.508337,-28.916355,Graduate
-39.301884,65.19672,Graduate
-41.878933,34.033348,Graduate
-1.9292532,-18.713257,Graduate
-20.072708,33.04888,Graduate
-54.289295,47.906815,Graduate
24.096111,21.410965,Enrolled
5.922631,39.501667,Graduate
26.557196,-6.6970468,Graduate
40.48801,14.6438465,Graduate
24.469187,-52.999084,Graduate
23.281908,73.88991,Graduate
26.468616,76.365654,Enrolled
17.334545,-47.399513,Graduate
-10.621408,-18.22216,Dropout
35.242836,20.689354,Graduate
-3.5816584,-45.853153,Graduate
29.577953,-13.111012,Graduate
17.596203,-53.768215,Graduate
-1.9706329,-23.893822,Graduate
10.282743,-61.253685,Graduate
29.641727,0.8045207,Graduate
0.5596518,-22.672274,Graduate
-32.742096,10.832227,Dropout
18.787897,-24.97463,Dropout
2.7203915,-6.686459,Enrolled
12.965649,-53.720837,Graduate
-22.978382,56.05702,Dropout
12.004101,23.285254,Graduate
19.85409,71.780655,Dropout
37.57784,26.067396,Graduate
7.507176,26.748627,Dropout
-20.259918,-29.396898,Graduate
10.912229,-61.961967,Graduate
10.116774,3.9963684,Dropout
-24.776358,-18.799152,Graduate
18.154346,-10.6583,Graduate
21.248926,-7.3671837,Graduate
22.83675,-34.532764,Graduate
-3.3829906,-27.787195,Enrolled
14.64748,39.07991,Dropout
-9.917313,-30.041468,Graduate
10.815894,-12.9342,Graduate
-2.252271,48.020767,Graduate
35.945286,-6.977598,Enrolled
-6.3588095,-9.959996,Graduate
5.728331,-0.40790913,Graduate
-9.852228,2.306916,Graduate
12.491705,6.8614855,Enrolled
33.96483,4.8422956,Enrolled
-7.698985,-12.39613,Enrolled
23.323042,69.678856,Dropout
24.033468,-41.233288,Graduate
-20.664772,33.457726,Graduate
27.114742,-39.47995,Graduate
32.228363,78.243385,Graduate
22.791414,42.548946,Graduate
16.637705,-65.902695,Graduate
25.568996,-30.247612,Graduate
4.316751,13.527681,Graduate
28.633617,11.502842,Enrolled
-2.5276241,22.105238,Dropout
-40.80164,31.285536,Graduate
-23.401987,57.26826,Graduate
-23.746387,-22.12371,Enrolled
-5.253807,-44.43109,Graduate
-1.6220064,50.580784,Enrolled
-38.85947,63.728706,Graduate
-45.648514,23.623955,Graduate
26.05574,-6.664364,Enrolled
-9.52131,-8.82171,Dropout
-7.2896795,-46.953,Graduate
-22.541988,19.076565,Dropout
-13.311733,-37.765507,Graduate
-33.171658,11.385767,Dropout
25.692888,7.1869345,Graduate
-51.649406,6.8677344,Graduate
-30.039024,29.175682,Dropout
-29.066643,1.34016,Enrolled
21.64017,38.092754,Dropout
19.504972,-52.50624,Graduate
-12.982009,-38.7277,Dropout
18.635584,-51.54914,Enrolled
17.91695,47.4657,Graduate
18.454285,-58.570526,Enrolled
31.413107,-0.77174413,Graduate
18.518291,-61.17552,Graduate
23.97153,8.97252,Enrolled
-10.588817,-18.082687,Graduate
-14.673548,-72.851295,Dropout
-35.705,38.65053,Graduate
-40.13557,63.443512,Enrolled
-11.213206,-45.53521,Graduate
-38.755146,64.00408,Graduate
-50.595684,9.536187,Dropout
-55.654728,13.87846,Enrolled
-26.883495,7.4679594,Dropout
13.793561,-6.9133916,Graduate
42.76213,-0.39608967,Enrolled
33.908775,72.01962,Enrolled
-45.237934,60.137856,Dropout
-6.2607055,-3.5654037,Enrolled
24.726795,-39.685814,Enrolled
-0.33010793,-17.960735,Graduate
20.16949,46.80614,Graduate
10.14076,27.809832,Graduate
-14.638954,-18.200468,Graduate
-11.381727,57.869366,Graduate
2.7067292,-4.691454,Enrolled
25.096598,79.618195,Graduate
32.656624,72.35749,Enrolled
-46.725056,-48.564095,Enrolled
-16.4283,-60.922962,Dropout
19.21569,8.942449,Dropout
18.62659,-18.842234,Graduate
20.037119,-59.05926,Graduate
26.292002,34.43566,Graduate
33.186157,74.389534,Graduate
-10.571813,-1.4030864,Dropout
-22.151148,-16.243757,Dropout
43.92682,-1.123592,Enrolled
-11.141253,-5.7739,Enrolled
-48.459072,-47.439377,Enrolled
-11.955797,-11.845384,Enrolled
-3.457076,-17.144632,Graduate
-8.545941,21.86944,Graduate
14.81027,49.950405,Graduate
11.463145,42.602936,Graduate
15.884409,-2.473645,Graduate
-34.935577,65.45514,Dropout
4.3040953,-35.073185,Graduate
-20.931946,58.77649,Graduate
40.83194,-13.573612,Graduate
10.872907,44.137028,Graduate
21.61735,-37.84182,Graduate
23.277697,11.020114,Graduate
29.569998,5.481218,Graduate
-9.515478,-8.85176,Dropout
16.673742,-60.38625,Graduate
7.0315504,-64.891396,Dropout
25.971937,23.775234,Graduate
-21.13749,40.725456,Graduate
32.107117,68.31268,Dropout
-8.707075,-75.287476,Graduate
-13.536707,-69.080345,Graduate
-13.053828,-25.315872,Graduate
9.945016,-61.53431,Graduate
-22.53475,-18.006887,Enrolled
-45.526836,-8.131751,Dropout
-0.011238641,-6.6109667,Graduate
44.202694,-21.349335,Graduate
-27.201517,35.47153,Graduate
-20.149858,-33.301167,Graduate
0.05851038,13.041237,Dropout
-4.6307573,-42.736248,Graduate
-16.786074,-74.148094,Graduate
-0.7894174,-17.266874,Enrolled
-1.7147889,-18.754019,Graduate
50.900818,-39.16226,Dropout
-53.879303,10.064229,Graduate
19.294796,1.0931383,Enrolled
-24.57882,-10.335557,Enrolled
-12.322924,-73.52019,Graduate
53.21511,-47.712185,Graduate
-5.0238857,-6.914982,Graduate
14.128522,-34.0678,Graduate
34.90567,20.617167,Graduate
5.2970505,-34.896984,Dropout
0.006724742,-44.342384,Graduate
34.636757,-14.52032,Enrolled
-1.1758797,-14.314396,Graduate
16.544426,-60.542885,Graduate
5.8604627,-34.054646,Graduate
25.29398,-53.24898,Graduate
40.651527,-22.25556,Enrolled
-0.5016259,35.006123,Graduate
-20.940067,54.093365,Dropout
0.95499843,-9.636033,Dropout
-51.858402,28.710161,Graduate
-11.977218,-43.657707,Graduate
38.571114,14.74564,Graduate
8.109323,54.285233,Graduate
32.251705,19.392675,Graduate
-26.978823,-10.542867,Graduate
26.98429,-30.476915,Enrolled
38.2001,28.929241,Dropout
-6.75744,-12.482496,Enrolled
0.72643125,49.55618,Graduate
53.394753,-50.798725,Graduate
15.2063265,-40.15052,Graduate
45.347248,-16.717485,Graduate
-6.5726986,-19.598928,Graduate
-1.5165461,-9.0441475,Dropout
5.8668547,-32.358124,Graduate
6.268007,37.691704,Dropout
22.910627,-8.278969,Graduate
-11.058743,11.392537,Dropout
-19.193228,52.610043,Dropout
-47.00665,-49.49273,Graduate
20.297543,-42.79494,Enrolled
13.548387,-5.4168153,Graduate
-13.691929,-76.51047,Graduate
33.52932,15.361599,Dropout
34.522,73.52004,Enrolled
37.743126,-16.861078,Graduate
5.0553036,-20.259989,Graduate
19.977722,-19.24749,Dropout
7.986698,-5.717327,Dropout
44.669125,-19.353128,Graduate
46.286415,-23.339025,Graduate
19.366743,-8.948049,Graduate
-3.1402445,-15.775091,Graduate
-9.679619,-76.56582,Graduate
7.309271,12.909138,Enrolled
-47.439453,-49.15171,Enrolled
-22.095549,47.820866,Dropout
-54.170704,5.376304,Dropout
18.948837,-16.829878,Graduate
-10.435893,-11.602722,Graduate
-3.3158054,-27.704603,Graduate
33.910706,6.415801,Enrolled
-0.5318645,-28.79046,Graduate
14.631461,0.9594972,Enrolled
-16.661297,52.357613,Dropout
0.3672615,-35.318897,Graduate
-51.542873,6.375522,Enrolled
32.707634,24.185966,Enrolled
22.253788,-21.416882,Graduate
22.80187,23.915688,Dropout
-49.411453,-49.33353,Dropout
27.46578,20.604702,Enrolled
0.8130209,35.58455,Dropout
5.923378,27.34309,Graduate
-30.724567,27.201958,Dropout
-37.611988,21.693855,Dropout
-37.66103,21.587301,Dropout
-46.517303,25.643213,Graduate
14.464073,-11.930742,Dropout
-43.133312,61.891212,Dropout
-5.047185,-33.38333,Dropout
-17.367191,-74.03828,Graduate
33.25101,18.44734,Graduate
-48.638054,-30.411167,Graduate
73.7543,-10.92598,Graduate
75.39328,-11.467243,Dropout
1.868135,6.5332947,Dropout
-51.97601,1.2312739,Enrolled
-1.9575692,20.177069,Graduate
-34.93078,5.4804316,Dropout
42.430374,19.07026,Dropout
-21.580254,-26.05144,Enrolled
-15.683903,9.323595,Dropout
20.85254,23.39438,Graduate
18.94613,30.12291,Dropout
25.117985,63.865734,Graduate
18.350426,16.382578,Graduate
11.027302,18.44502,Dropout
8.328231,-0.4594185,Graduate
29.563797,71.79289,Graduate
40.62,-27.598482,Dropout
2.701055,-16.418316,Graduate
-31.355316,-20.850988,Enrolled
26.998652,70.34206,Graduate
11.965679,-14.481364,Graduate
6.887591,-27.163586,Enrolled
-34.319443,-15.22851,Enrolled
18.06185,41.576035,Enrolled
-7.8457627,-0.9392198,Enrolled
-14.197563,-25.589794,Enrolled
-23.02243,-31.772247,Graduate
51.17782,-42.065426,Dropout
-62.416134,3.2700913,Dropout
6.5532103,31.513752,Dropout
31.198969,-20.416508,Dropout
8.117001,5.037656,Dropout
28.944654,62.230278,Dropout
-22.767233,-14.488,Enrolled
-13.958281,22.210453,Graduate
28.51075,65.20236,Enrolled
15.641201,13.117441,Graduate
15.6106825,48.50615,Graduate
28.055859,-13.154862,Enrolled
-23.189053,37.59258,Dropout
-12.793237,-11.554898,Graduate
-15.966786,-68.95831,Graduate
19.744677,-7.5776815,Graduate
-52.9923,-1.330486,Dropout
9.106951,24.95697,Dropout
22.001926,7.7186785,Graduate
29.560545,26.056622,Graduate
-20.78532,37.791832,Graduate
-26.086884,-23.735426,Dropout
-16.647064,-66.42657,Dropout
-15.215034,-65.14698,Enrolled
-12.337278,26.10733,Graduate
-41.604156,11.934747,Dropout
8.495029,-14.385168,Graduate
-29.831667,36.58816,Enrolled
-39.650986,-6.0279317,Graduate
14.281678,-58.042522,Graduate
0.92740095,31.772747,Dropout
57.190773,-45.883434,Graduate
-4.7841563,-5.939476,Enrolled
-23.455952,-22.132353,Graduate
-11.021181,-5.708678,Graduate
24.152287,-12.7674885,Graduate
22.025673,8.022516,Graduate
-6.946431,-42.713024,Graduate
37.48346,-19.37785,Graduate
17.326057,-55.66771,Graduate
20.930267,-21.994934,Graduate
35.077747,19.58173,Enrolled
27.296436,76.64615,Graduate
2.336596,-5.07485,Enrolled
-10.822715,-1.3792176,Enrolled
-11.286685,57.887043,Dropout
-19.494371,-11.140121,Dropout
-38.629215,58.61543,Dropout
-47.773624,-47.94134,Graduate
0.22864756,57.07982,Graduate
-20.49974,54.93844,Dropout
45.203655,-47.0773,Dropout
19.194857,42.84961,Graduate
-23.25941,36.23075,Graduate
17.130884,-10.851964,Graduate
2.8774297,22.776682,Dropout
-29.189133,0.885719,Dropout
-15.347345,-75.47206,Graduate
-12.67294,6.497079,Dropout
48.342308,-21.95224,Enrolled
-0.34478843,-37.038498,Graduate
-44.532356,27.65198,Graduate
-4.073284,-3.4180398,Graduate
7.4208293,-45.009796,Enrolled
-6.743759,-24.755993,Graduate
-13.408583,-73.88228,Graduate
10.86783,-39.736317,Graduate
-7.3442116,-29.257282,Graduate
2.1001544,-34.98894,Graduate
34.923405,67.22441,Enrolled
12.980614,-18.241486,Graduate
-24.983784,-33.812435,Dropout
49.723335,-51.256775,Dropout
-6.0204277,-27.724937,Graduate
11.069667,-59.66643,Dropout
-8.695261,-9.060986,Dropout
24.854597,80.80993,Graduate
41.457176,-19.121372,Graduate
-2.2306137,-41.71136,Graduate
-48.34428,-47.500935,Graduate
-7.0876884,-24.279016,Graduate
12.850628,-24.145555,Enrolled
1.1491556,-20.778479,Graduate
-14.056237,-34.76424,Graduate
-13.133234,-22.80618,Graduate
57.018753,-49.813572,Graduate
54.909683,-51.138336,Graduate
-22.925812,34.909855,Enrolled
27.937574,-30.358032,Graduate
28.9848,-10.374173,Dropout
-37.58613,14.459145,Dropout
-19.454306,-68.369644,Enrolled
-24.18067,-23.173353,Enrolled
42.85047,-19.474457,Enrolled
-18.411093,-45.69285,Dropout
-25.510729,-25.237757,Enrolled
19.113508,-37.768654,Enrolled
-26.318815,55.4841,Graduate
19.798355,-19.272617,Graduate
-6.5528736,-12.521759,Graduate
24.340702,-31.861395,Graduate
19.436888,48.93364,Enrolled
-51.164597,2.5727062,Graduate
31.350346,77.70978,Graduate
-5.8782125,-40.305027,Graduate
20.445929,-48.02122,Enrolled
-10.619002,0.22811267,Enrolled
6.155927,55.600105,Graduate
1.1471695,-9.778387,Graduate
-17.46221,7.2647033,Dropout
24.622177,70.95836,Graduate
3.358005,-10.172435,Enrolled
11.585709,-52.73197,Graduate
-14.3029995,-5.637509,Graduate
44.16239,-5.8003845,Graduate
74.940414,-11.440408,Graduate
-15.984725,-42.72815,Dropout
9.66844,55.152416,Graduate
57.89615,-40.17289,Dropout
2.9335625,58.62804,Graduate
15.999296,-36.86298,Graduate
-12.493785,42.77731,Dropout
19.985476,-61.317043,Graduate
25.879984,-16.886055,Graduate
-6.355681,-13.363808,Graduate
-15.6106415,-16.892403,Dropout
12.433407,-54.111206,Graduate
-9.3969965,-6.2433,Enrolled
-60.984806,6.713131,Dropout
-69.988045,-16.861824,Graduate
-68.35175,-17.363123,Graduate
-67.425896,-16.052755,Graduate
-32.39962,13.905728,Dropout
-43.567444,58.260803,Dropout
-44.035027,61.291973,Graduate
-7.53224,51.019207,Graduate
-37.027054,5.2643027,Dropout
48.525787,-14.636357,Graduate
-45.53224,-8.115428,Graduate
-42.699852,57.967625,Dropout
-44.27466,57.981266,Dropout
-1.9531798,57.134216,Graduate
-10.728927,-9.622259,Enrolled
-66.45767,-16.833963,Dropout
-53.17995,12.952663,Graduate
-26.48614,-10.620936,Dropout
-38.198196,33.439922,Graduate
33.422596,22.052223,Enrolled
28.52008,71.866776,Graduate
-0.70810616,4.6420846,Dropout
29.379232,65.17371,Enrolled
-53.498722,11.63415,Dropout
22.588234,41.136944,Dropout
-39.130737,29.410593,Dropout
-55.674736,47.96838,Graduate
-74.23065,23.746826,Dropout
-42.081394,36.430805,Graduate
-1.797917,57.038925,Graduate
-51.822662,28.664495,Graduate
-33.098274,22.575346,Dropout
-59.399002,13.480822,Dropout
-36.062786,8.442541,Dropout
-49.703705,18.93272,Graduate
40.38083,19.100636,Graduate
-49.94091,19.233126,Graduate
-3.9043422,50.427338,Graduate
6.666604,37.479183,Dropout
-38.61491,58.135754,Dropout
9.163216,44.582195,Enrolled
-2.6806133,5.9555826,Enrolled
-55.544975,2.6339507,Dropout
19.613668,-9.356662,Enrolled
-11.67874,19.14319,Graduate
-32.370834,27.180212,Dropout
-17.296295,51.40505,Dropout
-19.681202,61.87032,Graduate
16.725235,23.877886,Graduate
-28.20112,30.670538,Dropout
-69.31182,-16.462584,Graduate
29.74228,25.454397,Enrolled
-28.171873,11.4245,Dropout
27.898817,66.44491,Graduate
-3.8789482,-4.498501,Graduate
-44.039047,19.91786,Graduate
-36.20023,63.374176,Dropout
39.83703,9.4599285,Graduate
20.5845,0.06846693,Enrolled
-5.9342093,-35.768253,Dropout
33.83228,35.39728,Enrolled
-4.0822616,-1.9687911,Dropout
-14.079568,10.941442,Dropout
40.970165,19.317572,Graduate
42.98185,-4.5646524,Dropout
-23.698973,38.034092,Dropout
-55.655186,48.207508,Graduate
-23.878866,8.925063,Dropout
1.8400284,15.41752,Dropout
16.43003,34.516903,Graduate
7.926911,38.319412,Dropout
17.150497,-21.11198,Graduate
-4.122653,-15.772116,Graduate
-16.421597,-19.75073,Graduate
28.054852,-17.521887,Graduate
-62.326065,8.859538,Dropout
36.85541,-21.262798,Graduate
-22.795748,18.476511,Dropout
-66.733055,-17.30564,Dropout
-4.1971273,51.967773,Dropout
28.055775,-13.068929,Graduate
-44.082745,21.086842,Graduate
3.5555792,56.0689,Graduate
-10.5526,17.312067,Enrolled
-9.14076,48.939667,Graduate
75.08656,-12.383389,Enrolled
21.402935,80.53826,Graduate
5.001754,-58.69691,Enrolled
31.51592,70.2678,Enrolled
11.798006,45.089344,Graduate
-42.22654,35.237267,Graduate
46.941692,-43.951107,Graduate
31.742054,1.8706783,Graduate
-11.317973,-65.24139,Dropout
41.225418,-15.875169,Enrolled
22.470814,-44.188126,Graduate
29.950287,16.377186,Enrolled
34.94752,69.83015,Dropout
16.422327,4.944027,Graduate
33.955685,31.860556,Dropout
39.92075,13.739624,Enrolled
35.91437,-27.87583,Graduate
-5.9655466,-51.147884,Graduate
-7.036686,2.1339517,Dropout
17.240719,-11.0834675,Graduate
43.57168,-4.845153,Enrolled
0.84736186,-47.873367,Graduate
23.729973,-28.964521,Graduate
38.932594,15.014184,Graduate
9.592601,-14.08747,Graduate
6.814778,14.999061,Dropout
-16.993399,23.029434,Graduate
-8.897874,-46.30451,Graduate
42.44451,20.965223,Dropout
25.347744,-33.61593,Graduate
47.764378,4.9673643,Graduate
33.528286,-13.807161,Graduate
38.03364,-28.602768,Graduate
33.476627,61.471443,Graduate
40.29226,-13.353541,Graduate
-11.415883,-20.622831,Graduate
22.899448,-5.2746572,Enrolled
16.646776,44.29386,Enrolled
-24.088226,13.980048,Dropout
6.3563857,-57.57052,Graduate
-5.319091,-48.272938,Graduate
31.921606,-17.62389,Graduate
-24.818958,-35.756878,Enrolled
33.494217,-15.349448,Graduate
44.38437,21.629171,Enrolled
6.345239,-65.03608,Dropout
54.14499,-40.821453,Enrolled
-24.174088,13.84567,Dropout
4.5488973,-27.342419,Graduate
-4.7685785,-24.140667,Graduate
41.674026,-4.0110164,Graduate
12.0222645,-3.1425452,Graduate
10.103234,3.9573271,Enrolled
2.735401,-1.5116063,Enrolled
12.748722,0.768127,Graduate
2.3626933,-36.87462,Enrolled
-15.13013,34.50777,Graduate
-27.602926,-25.610048,Graduate
-8.296875,22.871542,Graduate
42.789417,47.803226,Enrolled
11.794414,-35.142162,Graduate
7.395915,-52.92312,Graduate
31.79253,-17.598787,Graduate
-5.0809274,-10.216199,Dropout
42.296326,-23.96305,Graduate
20.623104,-64.81772,Graduate
18.84642,1.4147022,Dropout
40.821995,1.1355546,Dropout
6.4964333,37.65952,Dropout
43.37909,47.61891,Enrolled
-47.848682,23.366304,Dropout
-40.546806,25.259487,Dropout
43.03341,-10.064406,Enrolled
-48.414692,-49.869644,Dropout
-3.7153268,-2.5113873,Enrolled
23.867273,65.17537,Dropout
-34.92797,-25.217045,Graduate
-66.25519,-16.617662,Dropout
9.850343,5.643105,Enrolled
-38.855457,8.579444,Dropout
39.589745,-18.44504,Graduate
17.820719,-36.08045,Graduate
-19.498068,18.314617,Dropout
-40.0042,37.263382,Graduate
-29.664698,-22.601799,Graduate
28.966501,15.922404,Enrolled
