model,fpr,tpr
Decision Tree,0.027149321266968326,0.7582159624413145
Decision Tree,0.033182503770739065,0.7816901408450704
Decision Tree,0.03619909502262444,0.7863849765258216
Decision Tree,0.04072398190045249,0.795774647887324
Decision Tree,0.04675716440422323,0.8028169014084507
Decision Tree,0.049773755656108594,0.8051643192488263
Decision Tree,0.1085972850678733,0.8403755868544601
Decision Tree,0.13423831070889894,0.8591549295774648
Decision Tree,0.13574660633484162,0.8615023474178404
Decision Tree,0.29260935143288086,0.9014084507042254
Decision Tree,0.2986425339366516,0.9061032863849765
Decision Tree,0.9894419306184012,0.9694835680751174
Decision Tree,1.0,1.0
